file_path,mean,std,shape
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-17.jpg,[ 82.84760499 119.67205691 132.23315452],[75.56003924 62.1747127  61.90528117],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/10-50.jpg,[ 76.34040441 114.25815647 121.40156435],[79.798728   71.66995094 70.09834592],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-12.jpg,[ 72.58060286 113.35163312 128.73333069],[75.42339416 68.78027178 69.47739879],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-6.jpg,[ 95.91514002 118.61198425 124.1873203 ],[88.68687329 71.62807034 65.34200346],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-4.jpg,[ 79.15605964 110.24437822 120.47138131],[79.66204301 70.4535201  72.26677339],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-10.jpg,[ 75.16775871 110.81888346 126.09717736],[78.2461981  69.82428239 68.50235892],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-9.jpg,[ 87.58278087 119.31521579 129.48019515],[82.11216203 68.19229284 65.0887692 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-29.jpg,[ 84.50576137 119.65963988 132.95197793],[76.80331518 71.02979618 69.86861925],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/10-46.jpg,[ 66.68602872 109.71969843 116.1345724 ],[69.91390912 67.30863528 66.05804593],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/10-52.jpg,[ 62.53936432 110.55093454 112.92421803],[65.05417852 63.85077504 64.13373744],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-15.jpg,[ 86.73137347 114.68646283 122.17505303],[80.87559755 70.39788512 69.01380076],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-38.jpg,[ 77.23822851 110.70329707 116.28016501],[76.94027536 69.38144415 66.9991219 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-50.jpg,[ 70.36080314 116.20837147 129.01593445],[67.61020077 70.90303956 72.00586814],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-44.jpg,[ 71.32349373 116.42424919 129.95568225],[68.11719765 70.11188457 72.15367292],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-2.jpg,[ 86.67960147 110.97931241 116.74198796],[79.50883858 69.42389635 69.56665873],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-12.jpg,[ 75.29462563 106.37115001 110.38693388],[80.0944508  65.62894243 61.80637426],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-55.jpg,[ 65.74347179 110.93596688 117.47833412],[65.57739903 68.19705229 70.38130726],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-41.jpg,[ 65.92480493 110.5941554  121.83821902],[68.29835104 67.72073997 69.19840373],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-44.jpg,[ 73.22466933 115.17563083 124.63038885],[74.04926332 71.08279636 70.8367909 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-50.jpg,[ 75.7803429  114.64139414 120.56116429],[73.15516921 68.38562345 67.14801198],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-31.jpg,[ 86.45070881 114.3502363  125.32258557],[80.95855694 69.7835485  67.71649518],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-38.jpg,[100.15414301 116.85172465 119.16299793],[83.98484726 65.6608081  62.79900472],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-25.jpg,[ 84.01335833 114.68923217 126.31743456],[78.07661462 73.53992441 72.13421349],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-10.jpg,[ 71.73845898 116.26533425 129.24780714],[74.07627071 68.92071111 69.29128832],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-19.jpg,[ 84.09783529 116.43835953 128.94576474],[77.82823543 73.48053829 72.18277286],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-11.jpg,[ 87.89320333 116.73855354 121.03535407],[83.66557528 71.41746784 68.30651772],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-18.jpg,[ 81.3442448  117.43104945 129.75715719],[76.90589045 68.26282764 68.32079961],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-24.jpg,[ 74.67221028 111.5615496  126.95399535],[72.63593656 70.33756686 70.67101547],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-30.jpg,[ 94.20413142 120.67852509 128.32357263],[83.9395808  68.84587716 66.13787169],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-39.jpg,[105.16761133 114.79901446 112.88956683],[84.42283985 63.38021687 60.96485254],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-51.jpg,[ 84.09115764 118.20684434 125.35050163],[76.05532888 70.10516243 70.2126824 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-45.jpg,[ 69.22585183 115.25074626 129.6119959 ],[69.26371385 63.67101623 63.63061863],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-40.jpg,[ 86.50327292 114.55646528 123.74016647],[83.42510247 74.87011872 70.95894119],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-13.jpg,[ 83.7771219  106.81083779 109.50742457],[82.82059326 71.04673059 68.02708083],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-54.jpg,[ 63.93279902 106.12043508 113.91234066],[60.47586172 66.08520235 68.25639179],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-3.jpg,[ 83.92863327 111.45517441 118.70497634],[77.58431556 66.87433298 68.17200026],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-45.jpg,[ 99.09403304 118.25576932 120.86406622],[84.57767375 74.0988946  70.46165916],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-51.jpg,[ 87.65470646 119.12224304 126.15446575],[80.31382091 73.7336344  72.45588904],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/10-53.jpg,[ 80.33107888 115.56499894 116.50315482],[78.60137069 68.21264925 68.81268478],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-39.jpg,[ 68.96816744 111.17483987 122.73329083],[71.15736751 70.38974745 71.02993289],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-14.jpg,[ 85.98550206 117.00535711 126.04078278],[82.66822733 70.57782394 67.82088259],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/10-47.jpg,[ 67.6092929  106.96545592 113.35401379],[61.32306973 60.90710809 62.45477013],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-8.jpg,[ 85.05080651 120.26590377 131.63923836],[79.35964875 68.81536159 66.88209483],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-28.jpg,[ 86.55726673 121.31046051 133.44140535],[78.47122064 71.94956681 70.18519821],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-11.jpg,[ 81.50082475 116.25503643 132.23895862],[79.35562295 70.56061283 70.96092533],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-5.jpg,[ 87.08433491 111.13450982 112.01428634],[83.42103747 68.40444595 67.63480378],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-1.jpg,[103.53012482 120.52549626 119.80306014],[88.28288988 72.28924999 69.86482297],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/10-43.jpg,[ 73.30169975 110.09994302 123.67891253],[74.69296285 71.19167394 70.32523203],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-29.jpg,[ 59.53939179 111.18148996 117.61412692],[68.70458835 63.95699354 63.46523874],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-10.jpg,[ 88.43063856 117.56063931 127.8972176 ],[83.17711936 69.16994548 65.51851349],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/10-57.jpg,[ 80.73031948 113.59954696 118.58590576],[77.72867384 69.12093975 69.47403393],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-38.jpg,[ 73.62349755 107.93158805 119.87320828],[78.16905839 71.63884878 68.78900973],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-15.jpg,[ 83.9341768  112.74999467 124.99650096],[81.58926838 71.82629481 67.34244612],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-69.jpg,[103.50128642 108.33565291 112.93945148],[78.11966703 63.15490059 61.11069422],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-55.jpg,[ 98.61116893 117.10089694 126.11548715],[82.77197634 69.52648916 66.03889147],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-41.jpg,[ 88.42444693 115.88704353 126.87812972],[75.87343788 69.34341978 68.32726371],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-7.jpg,[ 66.31765568 110.93463445 133.05325657],[67.68164088 69.57427428 72.40980694],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-41.jpg,[ 75.27246832 115.79228154 124.58947173],[74.98532211 68.94625638 68.35534207],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-55.jpg,[ 74.30071744 113.46216823 118.3268353 ],[76.3226592  65.87094771 64.21323957],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-50.jpg,[ 66.90526966 115.79820308 124.60360765],[68.13432891 68.40145982 68.20074893],"(4032, 3024, 3)"
